target_id	W	pval	qval	b	se_b	mean_obs
YDR002W_mRNA	0.0898905600050112	0.764316332020357	0.764316332020357	-0.0312523125598148	0.10423777103947	7.93622808921518
YDR406W_mRNA	220.308541057962	7.74610052513395e-50	7.74610052513395e-49	-1.31269817034779	0.0884400974981874	6.56882606469312
YDR499W_mRNA	0.877964990397692	0.348759658505273	0.498228083578962	0.118142400595123	0.126086094310239	5.69038773699269
YFL041W_mRNA	11.0754567999411	0.000874778670900383	0.00437389335450191	0.290853217467466	0.0873963003806357	7.03277356232594
YGR073C_mRNA	5.30062091193997	0.0213178238652653	0.0710594128842175	-0.209875079575224	0.0911585694126661	3.95158537807597
YLR029C_mRNA	0.304918874267343	0.580815034932224	0.72601879366528	-0.196467714730279	0.35579434383312	9.41873664851019
YLR118C_mRNA	1.10274474751483	0.293664535115306	0.489440891858843	0.1327604273117	0.126424470293285	5.88652765032735
YNL128W_mRNA	3.42294565733417	0.0642961919606505	0.160740479901626	0.405830867426216	0.219353755449119	3.82867007493646
YNL238W_mRNA	2.38383496187077	0.122596259432317	0.245192518864633	-0.174505218583351	0.113023909792627	6.90618239150185
YOR071C_mRNA	0.186252209151797	0.666054350201359	0.740060389112621	0.0377862234301025	0.087555366824403	5.83556166041061
