target_id	b	se_b	pval	qval	Set	Single_Sample
ENST00000518236.1	-6.02019433345244	0.616527370955184	1.59610385842832e-22	1.98532518504792e-19	Single_T2E	CPCG0342
ENST00000357985.6	-3.99366238482537	0.4577834704749	2.6875368416447e-18	2.40003931078979e-15	Single_T2E	CPCG0342
ENST00000485493.1	4.28471181618915	0.509915297207592	4.35989179701204e-17	3.67370108483069e-14	Single_T2E	CPCG0342
ENST00000479810.6	-2.8626426140713	0.41265180528822	3.99985087702134e-12	2.38811668019827e-09	Single_T2E	CPCG0342
ENST00000398585.7	-2.46315021696838	0.374192528745344	4.62370825662046e-11	2.55610335177107e-08	Single_T2E	CPCG0342
ENST00000468474.5	4.4299428311331	0.744674017498943	2.70057761934963e-09	1.23217096934553e-06	Single_T2E	CPCG0342
ENST00000424093.5	-3.0134307935524	0.525803628940395	9.97840836299377e-09	4.13723817221841e-06	Single_T2E	CPCG0342
ENST00000488556.1	-2.76627987073827	0.50279218725058	3.75857706846709e-08	1.40756690473733e-05	Single_T2E	CPCG0342
ENST00000469395.1	-2.93285223187938	0.601634555519244	1.08914986171421e-06	0.000301054852252242	Single_T2E	CPCG0342
ENST00000463138.1	-3.44883334696232	0.715979697072361	1.45774352196446e-06	0.000392553799352924	Single_T2E	CPCG0342
ENST00000398646.3	-2.84940095631916	0.605296691610614	2.50840783074179e-06	0.000640803138844071	Single_T2E	CPCG0342
ENST00000492833.5	4.44455082379549	1.02121105387196	1.34756505160137e-05	0.00279363069149837	Single_T2E	CPCG0342
ENST00000398647.7	-3.32884348660421	0.863887881101919	0.000116523058196648	0.0169565392933406	Single_T2E	CPCG0342
ENST00000332149.10	-1.64237109218238	0.465739669924411	0.000421295574192934	0.0475363356090437	Single_T2E	CPCG0342
ENST00000458356.6	-2.84138427849344	0.808241643905309	0.000438904714617251	0.0491305110527276	Single_T2E	CPCG0342
ENST00000398652.7	-2.64916200580386	0.802545372986703	0.000963581141772369	0.0883147473832844	Single_T2E	CPCG0342
ENST00000454499.5	-1.9483909110953	0.603885613685552	0.00125347607709057	0.107670721031713	Single_T2E	CPCG0342
ENST00000398897.5	5.34499127237757	1.78810542885021	0.00279715875490148	0.190024925453268	Single_T2E	CPCG0342
ENST00000453032.6	5.34491334359613	1.80452718866105	0.00305700702508433	0.200759473292842	Single_T2E	CPCG0342
ENST00000328619.10	1.07963758358011	0.387720098030228	0.00535971176986859	0.294401546823501	Single_T2E	CPCG0342
ENST00000459922.1	-1.50643421526117	0.573582519079243	0.00863034732144884	0.403821410449736	Single_T2E	CPCG0342
ENST00000398907.5	5.90130162534219	2.37305519540418	0.0128899677576791	0.506314056839601	Single_T2E	CPCG0342
ENST00000438852.1	-1.00110492012128	0.427514362110324	0.0191967949522377	0.630941408656712	Single_T2E	CPCG0342
ENST00000380588.4	-0.775741551126684	0.333469398854848	0.0200038807821559	0.647834213986421	Single_T2E	CPCG0342
ENST00000455867.5	-0.77001548606059	0.346719623427644	0.026360495387185	0.75488052961877	Single_T2E	CPCG0342
ENST00000288319.12	2.30283131929231	1.38210172896369	0.0956774154479245	0.999944645076829	Single_T2E	CPCG0342
