target_id	b	se_b	pval	qval	Set	Single_Sample
ENST00000485493.1	3.97103571166485	1.83477287692729	0.0304397955369563	0.152198977684782	Single_T2E	CPCG0342
ENST00000468474.5	4.10563462321935	1.37263053367982	0.00278001352155836	0.0267308992457535	Single_T2E	CPCG0342
ENST00000492833.5	4.11917319081191	1.72363476461535	0.0168567290061492	0.10033767265565	Single_T2E	CPCG0342
ENST00000288319.12	2.13424514859982	1.43614615682562	0.137254818610434	0.451496113850113	Single_T2E	CPCG0342
ENST00000398907.5	5.46927786624919	2.37323648598039	0.0211909451340416	0.120403097352509	Single_T2E	CPCG0342
ENST00000398652.7	-2.45522158369785	1.40422888838805	0.0803864340939601	0.304494068537728	Single_T2E	CPCG0342
ENST00000398646.3	-2.64080139804106	1.57390400356834	0.0933730896971779	0.333475320347064	Single_T2E	CPCG0342
ENST00000357985.6	-3.70129348969361	1.8387752641487	0.0441238481428878	0.196981464923606	Single_T2E	CPCG0342
ENST00000469395.1	-2.71814335466496	1.70529123806713	0.110947971682188	0.374824228656042	Single_T2E	CPCG0342
ENST00000479810.6	-2.65307365766345	1.44036975433565	0.0654840291434271	0.27008804866456	Single_T2E	CPCG0342
ENST00000455867.5	-0.713644026683027	1.6699020298877	0.669119450654483	0.905694080370592	Single_T2E	CPCG0342
ENST00000488556.1	-2.56376545877744	1.39959122910185	0.0669818360688108	0.27008804866456	Single_T2E	CPCG0342
ENST00000518236.1	-5.57946665140353	2.10898653204604	0.00815539656953404	0.0599661512465738	Single_T2E	CPCG0342
ENST00000438852.1	-0.927815815734544	1.28545987423793	0.470431379941576	0.846870436184764	Single_T2E	CPCG0342
ENST00000398647.7	-3.0851447964137	1.09976953704075	0.00502752544972653	0.044888620086844	Single_T2E	CPCG0342
ENST00000328619.10	1.00059924307005	1.38776806059902	0.470901325598819	0.846870436184764	Single_T2E	CPCG0342
ENST00000495892.1	-0.454062834423012	1.26979306058713	0.720651616606292	0.919803060843142	Single_T2E	CPCG0342
ENST00000398897.5	4.95369400129834	1.94084484054468	0.0107002346860458	0.0743071853197624	Single_T2E	CPCG0342
ENST00000478268.1	-0.32726471489594	1.06761595087494	0.759195153894472	0.921353342104941	Single_T2E	CPCG0342
ENST00000482953.5	-0.676611586018034	1.53529767264993	0.659427413364336	0.905694080370592	Single_T2E	CPCG0342
ENST00000455813.1	-0.835385765771784	1.32599062545049	0.528688825216577	0.846934203664954	Single_T2E	CPCG0342
ENST00000459922.1	-1.39615085511082	1.44600173123897	0.334281908753974	0.747292412005164	Single_T2E	CPCG0342
ENST00000453032.6	4.95362177754389	0.806710562611086	8.22521411883851e-10	1.02815176485481e-07	Single_T2E	CPCG0342
ENST00000330714.8	-0.438891275054262	0.830143577407851	0.597018286222605	0.887365408994746	Single_T2E	CPCG0342
ENST00000380588.4	-0.718950896745761	1.405027981738	0.60886194341078	0.887365408994746	Single_T2E	CPCG0342
ENST00000496759.1	-0.588619914368327	1.06404972498517	0.580134441770018	0.884351283186003	Single_T2E	CPCG0342
ENST00000416447.1	-1.23971262248136	1.64954760269443	0.45232350056979	0.846870436184764	Single_T2E	CPCG0342
ENST00000446924.5	-0.280671346639867	0.802787330448538	0.726623113740577	0.919803060843142	Single_T2E	CPCG0342
ENST00000445668.5	-0.766539144573538	1.48613335183235	0.605998068682707	0.887365408994746	Single_T2E	CPCG0342
ENST00000493753.1	-0.344031698197361	0.703264110627492	0.624705247932301	0.887365408994746	Single_T2E	CPCG0342
ENST00000398585.7	-2.28282738592113	0.845928695100966	0.00696307733051975	0.0580256444209979	Single_T2E	CPCG0342
ENST00000648495.1	-0.294276293682285	1.69456077024463	0.862133199108227	0.970870719716471	Single_T2E	CPCG0342
ENST00000463138.1	-3.19635041325809	0.641333929092139	6.23121568066953e-07	1.94725490020923e-05	Single_T2E	CPCG0342
ENST00000380749.10	0.163359928013658	1.36816886683182	0.904958133959134	0.977164371863243	Single_T2E	CPCG0342
ENST00000480612.1	-0.495307522658893	1.54352169911277	0.748290391766741	0.919803060843142	Single_T2E	CPCG0342
ENST00000398632.3	-0.503127713300775	0.619255214513378	0.416520670218043	0.813516934019615	Single_T2E	CPCG0342
ENST00000424093.5	-2.792822903658	1.74242183376204	0.108970047596299	0.374824228656042	Single_T2E	CPCG0342
ENST00000380800.7	-4.87569784128262	2.0297360986903	0.0162997419510301	0.10033767265565	Single_T2E	CPCG0342
ENST00000398919.6	1.65691505148425	1.74054804220482	0.341122240252748	0.748075088273571	Single_T2E	CPCG0342
ENST00000487869.1	-0.224707315990199	0.683132016520943	0.742203395759681	0.919803060843142	Single_T2E	CPCG0342
ENST00000649100.1	-0.405988696745369	1.77582212617382	0.819164172428707	0.939408454620077	Single_T2E	CPCG0342
ENST00000473813.1	-0.5517483420802	0.590103286271166	0.34978675415071	0.749769070738378	Single_T2E	CPCG0342
ENST00000328735.10	-0.149157501513791	0.612421109515717	0.807576396551578	0.934694903416178	Single_T2E	CPCG0342
ENST00000413778.5	-0.589988533568555	0.535802235642446	0.270839580156007	0.638772594707564	Single_T2E	CPCG0342
ENST00000482733.1	-0.213225947386619	0.49767723580898	0.668329180722363	0.905694080370592	Single_T2E	CPCG0342
ENST00000484090.1	-0.516214276562193	0.490616446583598	0.292719344935619	0.677591076239859	Single_T2E	CPCG0342
ENST00000490860.1	-0.575116103562975	0.47606076048058	0.227019222591008	0.597288149285774	Single_T2E	CPCG0342
