target_id	ext_gene	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval
ENSG00000164597.13	COG5	4	12.9862305586145	9.90549084492303e-47	1.54297830891366e-42
ENSG00000102103.16	PQBP1	13	36.063503709112	4.98337745897681e-45	3.88130353392409e-41
ENSG00000152942.19	RAD17	4	13.60683355122	2.69273552916506e-30	1.0486185334451e-26
ENSG00000140474.14	ULK3	6	15.7463025991671	2.39243822602539e-30	1.0486185334451e-26
ENSG00000138036.18	DYNC2LI1	4	13.7863380434229	4.47413403414771e-23	1.39387171699838e-19
ENSG00000089127.13	OAS1	8	38.7163833941762	3.38321834828719e-20	8.78339870187825e-17
ENSG00000237973.1	MTCO1P12	1	5.85596232644289	5.22931758080171e-19	1.16367257080212e-15
ENSG00000145362.18	ANK2	7	15.6769685012343	4.83035697323261e-11	9.40530882150554e-08
ENSG00000179889.18	PDXDC1	8	22.8961408013473	9.84366309194614e-11	1.70371933314717e-07
ENSG00000134762.17	DSC3	2	5.80696985047113	5.34933441043238e-08	8.33265821113052e-05
ENSG00000251705.1	RNA5-8SP6	1	6.52429178279853	1.29233490460452e-07	0.000183006370991133
ENSG00000186575.17	NF2	5	18.3327272271353	2.21842088347991e-07	0.000287969517516388
ENSG00000129824.16	RPS4Y1	1	1.81997112749533	1.15573145114803e-06	0.00120018858763553
ENSG00000099725.14	PRKY	1	2.82553872923304	1.07421951035012e-06	0.00120018858763553
ENSG00000278212.2	AC134878.2	1	4.49838525042555	1.09094018736943e-06	0.00120018858763553
ENSG00000198216.12	CACNA1E	5	19.526917013865	3.36798147147304e-06	0.00327894046132097
ENSG00000063322.14	MED29	3	12.8258156857418	4.78911557543118e-06	0.0043882384304995
ENSG00000130584.11	ZBTB46	2	5.39858389511621	1.14478581188779e-05	0.00990684921765336
ENSG00000072501.17	SMC1A	6	27.0155075776917	1.36514422978169e-05	0.0111920271933207
ENSG00000259848.9	AC097374.1	2	6.23148136886641	1.67164595207957e-05	0.0130196144977717
ENSG00000158122.12	PRXL2C	3	8.87289927661202	1.88392121392103e-05	0.0139742098805942
ENSG00000197956.10	S100A6	3	12.5099165061459	2.29782249000086e-05	0.0162696276939743
ENSG00000151474.23	FRMD4A	5	19.573823687382	3.34472104390917e-05	0.0226524868265101
ENSG00000168255.20	POLR2J3	9	28.6903315347463	4.2796856878951e-05	0.0277769433168091
ENSG00000138411.13	HECW2	8	24.5281712615103	6.42979970844457e-05	0.0400627960233764
ENSG00000183020.13	AP2A2	7	17.4656452697246	8.19421305392724e-05	0.0490927910542403
ENSG00000164828.18	SUN1	20	59.5429049168063	0.000107853721593197	0.0622236081947123
ENSG00000147689.16	FAM83A	1	2.94661735010628	0.000114078001539389	0.0634640367849666
ENSG00000114374.13	USP9Y	2	5.34024047993797	0.000130697319463709	0.0702024877684898
ENSG00000129484.13	PARP2	9	25.7231530285007	0.000167278853157169	0.086856756520974
ENSG00000260238.6	PMF1-BGLAP	2	5.33951694440845	0.000238156196532293	0.114195546515432
ENSG00000205571.13	SMN2	1	3.39596342848031	0.000250377620428184	0.114195546515432
ENSG00000135205.15	CCDC146	2	6.00529050779166	0.000256586257176614	0.114195546515432
