target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	607	166	24.7428
YDL245C_mRNA	1704	1405	80.3027	5.17112
YBR232C_mRNA	360	61	22.5717	33.4784
YDR320W-B_mRNA	138	1.24372	0	0
YBR021W_mRNA	1902	1603	105	5.92633
YGR014W_mRNA	3921	3622	750	18.7345
YKL119C_mRNA	648	349	116	30.072
YPR031W_mRNA	2247	1948	87	4.04074
YKL066W_mRNA	444	145	59	36.8141
YJL076W_mRNA	3570	3271	813.696	22.5067
YPL174C_mRNA	2607	2308	247	9.68259
YIL003W_mRNA	882	583	180	27.9341
YML066C_mRNA	1110	811	113	12.6063
YMR129W_mRNA	4014	3715	473	11.5195
YBR140C_mRNA	9279	8980	822	8.28182
YGR242W_mRNA	309	13.0646	3	20.7757
YKR047W_mRNA	306	11.3524	55	438.336
YKL029C_mRNA	2010	1711	951.434	50.3106
YLR154C-G_mRNA	150	1.28333	0	0
YPL028W_mRNA	1197	898	3961	399.079
YDL235C_mRNA	504	205	191	84.2966
YER091C_mRNA	2304	2005	5722	258.204
YMR121C_mRNA	615	316	589.025	168.646
YDR356W_mRNA	2835	2536	212	7.5634
YDR337W_mRNA	861	562	295	47.4915
YKL008C_mRNA	1257	958	646	61.0095
YER055C_mRNA	894	595	1548	235.388
YFR004W_mRNA	921	622	1561	227.061
YDR108W_mRNA	2097	1798	224	11.2717
YDL200C_mRNA	567	268	82	27.6828
YJR134C_mRNA	2124	1825	742	36.785
YMR135C_mRNA	1368	1069	1360	115.104
YGR012W_mRNA	1182	883	421	43.1372
YNL244C_mRNA	327	28.091	482	1552.43
YCR024C-A_mRNA	123	1.20308	0	0
YOR027W_mRNA	1770	1471	2303	141.648
YBL101C_mRNA	3354	3055	638	18.8947
YLL040C_mRNA	9435	9136	1219	12.072
YDR181C_mRNA	1446	1147	320	25.2416
YML116W-A_mRNA	303	9.89396	8	73.156
YPR096C_mRNA	303	9.89396	0	0
YJL210W_mRNA	816	517	790	138.251
YLR216C_mRNA	1116	817	1362.18	150.849
YGL118C_mRNA	438	139	3	1.95271
YMR021C_mRNA	1254	955	162	15.3477
YNL079C_mRNA	600	301	2604	782.717
YBL058W_mRNA	1272	973	1436	133.528
YJR127C_mRNA	4143	3844	1421	33.4458
YLR088W_mRNA	1845	1546	343	20.0731
YKL128C_mRNA	888	589	796	122.272
YLR100W_mRNA	1044	745	1180	143.303
YKL106C-A_mRNA	120	1.19594	0	0
YBR080C_mRNA	2277	1978	755	34.5343
YOR292C_mRNA	930	631	318	45.5961
YNL219C_mRNA	1668	1369	759	50.1613
YPR179C_mRNA	1968	1669	263	14.2571
YOL062C_mRNA	1476	1177	1014	77.9456
YDR540C_mRNA	540	241	24	9.00999
YER087W_mRNA	1731	1432	215.797	13.6343
YOL140W_mRNA	1272	973	115	10.6934
YFL009W_mRNA	2340	2041	666.494	29.545
YLL004W_mRNA	1851	1552	79	4.60538
YKL057C_mRNA	3114	2815	481	15.4596
YPL130W_mRNA	672	373	7	1.69793
YDL046W_mRNA	522	223	990	401.662
YPL072W_mRNA	1500	1201	169.443	12.7647
YPR150W_mRNA	522	223	20.2045	8.19734
YER180C_mRNA	804	505	148	26.5156
YGL157W_mRNA	1044	745	629	76.3879
YDR252W_mRNA	450	151	18	10.7851
YLR037C_mRNA	375	76	39	46.4281
YMR307W_mRNA	1680	1381	6484	424.795
YIL116W_mRNA	1158	859	693	72.9912
YAL040C_mRNA	1743	1444	561	35.1501
YGL232W_mRNA	870	571	301	47.6937
YHR181W_mRNA	687	388	365	85.1121
YBR051W_mRNA	351	52	3	5.21973
YPL259C_mRNA	1428	1129	441	35.3407
YDR461C-A_mRNA	243	2.22021	0	0
YJL087C_mRNA	2484	2185	195	8.07446
YIR005W_mRNA	447	148	41	25.0641
YDL080C_mRNA	1830	1531	308	18.2014
YJL209W_mRNA	1965	1666	209	11.3501
YLR286C_mRNA	1689	1390	7047	458.691
YEL044W_mRNA	501	202	916	410.274
YOR371C_mRNA	2694	2395	111	4.19322
YLR071C_mRNA	3249	2950	436	13.372
YBL050W_mRNA	879	580	902	140.705
YOR025W_mRNA	1344	1045	257	22.2509
YHL001W_mRNA	417	118	1412.84	1083.28
YJR042W_mRNA	2235	1936	479	22.3852
YNL185C_mRNA	477	178	158	80.3096
YBR129C_mRNA	987	688	249	32.7447
YKL145W_mRNA	1404	1105	3607	295.334
YIL015W_mRNA	1764	1465	161	9.94303
YPL018W_mRNA	1110	811	36	4.01617
YLR160C_mRNA	1089	790	1560.75	178.746
YIL047C_mRNA	2709	2410	452.902	17.0027
YBL039C-A_mRNA	84	1.12925	0	0
YOR061W_mRNA	1020	721	1017	127.619
YJR005C-A_mRNA	282	4.5528	0	0
YLR352W_mRNA	2424	2125	366	15.583
YDR068W_mRNA	933	634	449	64.0748
YJL128C_mRNA	2007	1708	722	38.2454
YPL228W_mRNA	1650	1351	407	27.2565
YML036W_mRNA	546	247	107	39.1938
YKL114C_mRNA	1104	805	372	41.8097
YDR078C_mRNA	672	373	135	32.7458
YCR105W_mRNA	1086	787	104	11.9561
YJR083C_mRNA	930	631	192	27.5297
YDR248C_mRNA	582	283	141	45.0778
YPL199C_mRNA	723	424	509	108.613
YNL136W_mRNA	1278	979	612	56.5587
YLL045C_mRNA	771	472	10100.7	1936.15
YOR316C-A_mRNA	210	1.66472	0	0
YNL264C_mRNA	1053	754	348	41.7579
YLR320W_mRNA	4365	4066	251	5.58517
YBR028C_mRNA	1578	1279	260	18.3922
YKL098W_mRNA	1074	775	459	53.5848
YBR063C_mRNA	1215	916	137	13.5318
YJL052C-A_mRNA	120	1.19594	0	0
YPR060C_mRNA	771	472	146	27.986
YLL013C_mRNA	2640	2341	159	6.14506
YKR067W_mRNA	2232	1933	806	37.7254
YLR040C_mRNA	675	376	95	22.8595
YMR093W_mRNA	1542	1243	135	9.82637
YIL058W_mRNA	285	4.97562	2	36.3675
YHR136C_mRNA	447	148	9	5.50188
YBR078W_mRNA	1290	991	6911	630.954
YCL054W_mRNA	2526	2227	252	10.2379
YIL072W_mRNA	1818	1519	83	4.94368
YOR231C-A_mRNA	201	1.57618	0	0
YCR016W_mRNA	873	574	167	26.323
YEL020C_mRNA	1683	1384	483	31.5749
YPL025C_mRNA	558	259	52	18.1649
YDL136W_mRNA	363	64	1729.1	2444.38
YBR211C_mRNA	975	676	238	31.8537
YJL077W-A_mRNA	87	1.1337	0	0
YOR076C_mRNA	2244	1945	253	11.7688
YDR104C_mRNA	3738	3439	242	6.36669
YBR279W_mRNA	1338	1039	706	61.478
YLR067C_mRNA	2898	2599	161	5.60467
YHR219W_mRNA	1875	1576	8095.58	464.753
YGR249W_mRNA	1371	1072	244	20.5933
YLR456W_mRNA	615	316	62	17.7515
YGR283C_mRNA	1026	727	207	25.7612
YDL027C_mRNA	1263	964	402	37.7294
YKR023W_mRNA	1593	1294	400	27.9677
YGR028W_mRNA	1089	790	357	40.8857
YCL001W-A_mRNA	462	163	7	3.88544
YDR052C_mRNA	2115	1816	639.649	31.8681
YFR035C_mRNA	345	46.0001	47	92.442
YJL102W_mRNA	2460	2161	203	8.49907
YNL336W_mRNA	1146	847	470.123	50.2179
YGL006W_mRNA	3522	3223	1925	54.0382
YDR217C_mRNA	3930	3631	484	12.0601
YMR194C-A_mRNA	225	1.85938	0	0
YKL033W_mRNA	3117	2818	150	4.81593
YOR223W_mRNA	879	580	464	72.3803
YOR032W-A_mRNA	201	1.57618	0	0
YBR260C_mRNA	2001	1702	298	15.8412
YLR359W_mRNA	1449	1150	2035	160.102
YHR062C_mRNA	882	583	156	24.2095
YDR022C_mRNA	591	292	149	46.1672
YDR459C_mRNA	1125	826	280	30.6696
YNL184C_mRNA	327	28.091	8	25.7664
YDR293C_mRNA	3753	3454	3011	78.8713
YPL195W_mRNA	2799	2500	512	18.5294
YMR173W_mRNA	1293	994	1171.3	106.614
YDR374W-A_mRNA	270	3.39154	0	0
YAL007C_mRNA	648	349	566	146.731
YGL235W_mRNA	537	238	1.47427	0.560443
YGL134W_mRNA	1302	1003	259	23.363
YER001W_mRNA	2289	1990	126	5.72859
YDR366C_mRNA	399	100	394.528	356.95
YHR023W_mRNA	5787	5488	345	5.68768
YDR430C_mRNA	2970	2671	487	16.4963
YGR002C_mRNA	1431	1132	203	16.2248
YNL220W_mRNA	1302	1003	1151	103.826
YBR109W-A_mRNA	225	1.85938	0	0
YHR110W_mRNA	639	340	536	142.632
YKL136W_mRNA	399	100	123.321	111.575
YLL067C_mRNA	3618	3319	11.7838	0.321225
YPL078C_mRNA	735	436	900	186.761
YBR073W_mRNA	2877	2578	720	25.2685
YPL119C_mRNA	1854	1555	193	11.2294
YOR135C_mRNA	342	43.0005	34	71.5379
YPL212C_mRNA	1635	1336	325	22.0093
YGL179C_mRNA	1683	1384	284	18.5658
YNL159C_mRNA	870	571	279	44.2077
YFR048W_mRNA	1989	1690	255	13.6516
YDR016C_mRNA	285	4.97562	3	54.5512
YKL215C_mRNA	3861	3562	390	9.90606
YML035C_mRNA	2433	2134	412	17.4676
YDL059C_mRNA	717	418	138	29.8699
YOR257W_mRNA	486	187	218	105.474
YNL144C_mRNA	2223	1924	587	27.6034
YIL172C_mRNA	1770	1471	105.484	6.48793
YOR301W_mRNA	1308	1009	321	28.7835
YHR157W_mRNA	549	250	14	5.06662
YPR152C_mRNA	1398	1099	175	14.4069
YDR442W_mRNA	393	94	40.5924	39.0703
YPL008W_mRNA	2586	2287	292	11.5517
YMR086C-A_mRNA	339	40.0016	13	29.4033
YGL032C_mRNA	264	3.0155	0	0
YEL077C_mRNA	3834	3535	913.402	23.3777
YGR174W-A_mRNA	87	1.1337	0	0
YOR148C_mRNA	558	259	131	45.7617
YHL048W_mRNA	1146	847	493.095	52.6717
YDR114C_mRNA	303	9.89396	0	0
YDR194W-A_mRNA	153	1.29441	0	0
YML062C_mRNA	1179	880	412	42.3589
YPR085C_mRNA	1332	1033	169	14.8019
YBL095W_mRNA	813	514	328.004	57.7359
YAR028W_mRNA	705	406	163	36.3239
YGR054W_mRNA	1929	1630	627	34.8025
YOR096W_mRNA	573	274	3775.77	1246.77
YMR022W_mRNA	498	199	494	224.597
YCR027C_mRNA	630	331	111	30.3407
YDL183C_mRNA	963	664	74	10.0831
YJL225W-A_mRNA	483	184	54.5501	26.823
YNL278W_mRNA	3183	2884	471	14.776
YLR395C_mRNA	237	2.07881	0	0
YDR446W_mRNA	909	610	1	0.14832
YKL023W_mRNA	834	535	385	65.1084
YPL106C_mRNA	2082	1783	6036	306.287
YOR366W_mRNA	354	55	3.20854	5.27807
YIR021W_mRNA	1092	793	268.935	30.6835
YJL175W_mRNA	513	214	19.3909	8.19814
YLL022C_mRNA	1158	859	506	53.2951
YDR441C_mRNA	546	247	128	46.886
YPR002C-A_mRNA	198	1.55022	0	0
YOR299W_mRNA	2241	1942	726	33.8234
YLR047C_mRNA	2061	1762	97	4.98077
YMR082C_mRNA	357	58	1	1.55992
YEL023C_mRNA	2049	1750	212	10.9604
YDR411C_mRNA	1026	727	596	74.1724
YKL025C_mRNA	2040	1741	491	25.516
YLR225C_mRNA	1224	925	716	70.0328
YPR029C_mRNA	2499	2200	764	31.4196
YDR088C_mRNA	1149	850	394	41.938
YFL004W_mRNA	2487	2188	688	28.4493
YDR369C_mRNA	2565	2266	174	6.94736
