target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	607	165	19.5039
YDL245C_mRNA	1704	1405	118.002	6.02612
YBR232C_mRNA	360	61	27	31.7586
YDR320W-B_mRNA	138	1.24372	0	0
YBR021W_mRNA	1902	1603	181	8.10162
YGR014W_mRNA	3921	3622	1050	20.8002
YKL119C_mRNA	648	349	110	22.6149
YPR031W_mRNA	2247	1948	123	4.53047
YKL066W_mRNA	444	145	23	11.3812
YJL076W_mRNA	3570	3271	1180.96	25.9048
YPL174C_mRNA	2607	2308	171	5.31603
YIL003W_mRNA	882	583	203	24.9836
YML066C_mRNA	1110	811	79	6.98929
YMR129W_mRNA	4014	3715	644	12.4381
YBR140C_mRNA	9279	8980	798	6.37607
YGR242W_mRNA	309	13.0646	5	27.46
YKR047W_mRNA	306	11.3524	79	499.307
YKL029C_mRNA	2010	1711	1675.2	70.2494
YLR154C-G_mRNA	150	1.28333	0	0
YPL028W_mRNA	1197	898	4034	322.319
YDL235C_mRNA	504	205	144	50.4006
YER091C_mRNA	2304	2005	1856	66.4187
YMR121C_mRNA	615	316	358.889	81.4891
YDR356W_mRNA	2835	2536	206	5.82834
YDR337W_mRNA	861	562	285	36.3861
YKL008C_mRNA	1257	958	1012	75.7952
YER055C_mRNA	894	595	2403	289.777
YFR004W_mRNA	921	622	1931	222.75
YDR108W_mRNA	2097	1798	255	10.176
YDL200C_mRNA	567	268	81	21.6859
YJR134C_mRNA	2124	1825	696	27.3636
YMR135C_mRNA	1368	1069	1444	96.9206
YGR012W_mRNA	1182	883	410	33.3158
YNL244C_mRNA	327	28.091	591	1509.55
YCR024C-A_mRNA	123	1.20308	0	0
YOR027W_mRNA	1770	1471	2772	135.21
YBL101C_mRNA	3354	3055	692	16.2526
YLL040C_mRNA	9435	9136	1107	8.69397
YDR181C_mRNA	1446	1147	227	14.2
YML116W-A_mRNA	303	9.89396	9	65.2678
YPR096C_mRNA	303	9.89396	1	7.25198
YJL210W_mRNA	816	517	495	68.6976
YLR216C_mRNA	1116	817	1616	141.921
YGL118C_mRNA	438	139	0	0
YMR021C_mRNA	1254	955	172	12.9227
YNL079C_mRNA	600	301	2557	609.524
YBL058W_mRNA	1272	973	1809	133.399
YJR127C_mRNA	4143	3844	1454	27.1399
YLR088W_mRNA	1845	1546	391	18.1465
YKL128C_mRNA	888	589	825	100.5
YLR100W_mRNA	1044	745	1269	122.217
YKL106C-A_mRNA	120	1.19594	0	0
YBR080C_mRNA	2277	1978	846	30.6882
YOR292C_mRNA	930	631	366	41.6177
YNL219C_mRNA	1668	1369	635	33.281
YPR179C_mRNA	1968	1669	210	9.02796
YOL062C_mRNA	1476	1177	1227	74.7988
YDR540C_mRNA	540	241	25	7.44303
YER087W_mRNA	1731	1432	208.391	10.4415
YOL140W_mRNA	1272	973	117	8.62779
YFL009W_mRNA	2340	2041	716.06	25.1729
YLL004W_mRNA	1851	1552	76	3.51357
YKL057C_mRNA	3114	2815	465	11.8523
YPL130W_mRNA	672	373	22	4.23195
YDL046W_mRNA	522	223	981	315.639
YPL072W_mRNA	1500	1201	213.705	12.7673
YPR150W_mRNA	522	223	10.4992	3.37815
YER180C_mRNA	804	505	142	20.1755
YGL157W_mRNA	1044	745	835	80.4187
YDR252W_mRNA	450	151	26	12.3544
YLR037C_mRNA	375	76	15	14.1613
YMR307W_mRNA	1680	1381	11900	618.273
YIL116W_mRNA	1158	859	490	40.9289
YAL040C_mRNA	1743	1444	578	28.7202
YGL232W_mRNA	870	571	297	37.3205
YHR181W_mRNA	687	388	236	43.6422
YBR051W_mRNA	351	52	8	11.0386
YPL259C_mRNA	1428	1129	439	27.8996
YDR461C-A_mRNA	243	2.22021	0	0
YJL087C_mRNA	2484	2185	251	8.24231
YIR005W_mRNA	447	148	14	6.78724
YDL080C_mRNA	1830	1531	433	20.2927
YJL209W_mRNA	1965	1666	198	8.52741
YLR286C_mRNA	1689	1390	10323	532.866
YEL044W_mRNA	501	202	523	185.771
YOR371C_mRNA	2694	2395	233	6.98035
YLR071C_mRNA	3249	2950	508	12.3557
YBL050W_mRNA	879	580	696	86.101
YOR025W_mRNA	1344	1045	279	19.1564
YHL001W_mRNA	417	118	2225.14	1353.01
YJR042W_mRNA	2235	1936	657	24.3493
YNL185C_mRNA	477	178	165	66.5106
YBR129C_mRNA	987	688	236	24.6122
YKL145W_mRNA	1404	1105	3730	242.2
YIL015W_mRNA	1764	1465	425	20.8151
YPL018W_mRNA	1110	811	88	7.78554
YLR160C_mRNA	1089	790	934.75	84.8975
YIL047C_mRNA	2709	2410	1095.84	32.6254
YBL039C-A_mRNA	84	1.12925	0	0
YOR061W_mRNA	1020	721	1174	116.831
YJR005C-A_mRNA	282	4.5528	0	0
YLR352W_mRNA	2424	2125	291	9.82564
YDR068W_mRNA	933	634	441	49.9087
YJL128C_mRNA	2007	1708	810	34.027
YPL228W_mRNA	1650	1351	399	21.1907
YML036W_mRNA	546	247	127	36.8921
YKL114C_mRNA	1104	805	307	27.3633
YDR078C_mRNA	672	373	55	10.5799
YCR105W_mRNA	1086	787	84	7.65828
YJR083C_mRNA	930	631	184	20.9226
YDR248C_mRNA	582	283	129	32.7062
YPL199C_mRNA	723	424	521	88.1655
YNL136W_mRNA	1278	979	393	28.8029
YLL045C_mRNA	771	472	13754.4	2090.87
YOR316C-A_mRNA	210	1.66472	0	0
YNL264C_mRNA	1053	754	391	37.2076
YLR320W_mRNA	4365	4066	224	3.95282
YBR028C_mRNA	1578	1279	340	19.0737
YKL098W_mRNA	1074	775	596	55.1787
YBR063C_mRNA	1215	916	94	7.36307
YJL052C-A_mRNA	120	1.19594	0	0
YPR060C_mRNA	771	472	170	25.8424
YLL013C_mRNA	2640	2341	181	5.54758
YKR067W_mRNA	2232	1933	956	35.4857
YLR040C_mRNA	675	376	111	21.1818
YMR093W_mRNA	1542	1243	378	21.8196
YIL058W_mRNA	285	4.97562	1	14.4205
YHR136C_mRNA	447	148	333	161.439
YBR078W_mRNA	1290	991	7671	555.399
YCL054W_mRNA	2526	2227	662	21.3287
YIL072W_mRNA	1818	1519	51	2.40901
YOR231C-A_mRNA	201	1.57618	0	0
YCR016W_mRNA	873	574	254	31.7504
YEL020C_mRNA	1683	1384	390	20.2188
YPL025C_mRNA	558	259	4	1.10812
YDL136W_mRNA	363	64	3491.84	3914.72
YBR211C_mRNA	975	676	234	24.8368
YJL077W-A_mRNA	87	1.1337	0	0
YOR076C_mRNA	2244	1945	184	6.78774
YDR104C_mRNA	3738	3439	172	3.58858
