target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	607	173	24.2267
YDL245C_mRNA	1704	1405	96.0931	5.8137
YBR232C_mRNA	360	61	18	25.083
YDR320W-B_mRNA	138	1.24372	0	0
YBR021W_mRNA	1902	1603	154	8.16628
YGR014W_mRNA	3921	3622	1090	25.5809
YKL119C_mRNA	648	349	129	31.4197
YPR031W_mRNA	2247	1948	161	7.02545
YKL066W_mRNA	444	145	41	24.0355
YJL076W_mRNA	3570	3271	1495.93	38.8748
YPL174C_mRNA	2607	2308	269	9.90726
YIL003W_mRNA	882	583	196	28.5775
YML066C_mRNA	1110	811	79	8.28025
YMR129W_mRNA	4014	3715	854	19.5405
YBR140C_mRNA	9279	8980	1131	10.7059
YGR242W_mRNA	309	13.0646	1	6.5064
YKR047W_mRNA	306	11.3524	48	359.412
YKL029C_mRNA	2010	1711	1288.14	63.9956
YLR154C-G_mRNA	150	1.28333	0	0
YPL028W_mRNA	1197	898	3381	320.041
YDL235C_mRNA	504	205	162	67.1735
YER091C_mRNA	2304	2005	1440	61.0499
YMR121C_mRNA	615	316	280.173	75.3661
YDR356W_mRNA	2835	2536	317	10.6254
YDR337W_mRNA	861	562	298	45.0731
YKL008C_mRNA	1257	958	1093	96.9821
YER055C_mRNA	894	595	2227	318.156
YFR004W_mRNA	921	622	1583	216.335
YDR108W_mRNA	2097	1798	269	12.7174
YDL200C_mRNA	567	268	85	26.9601
YJR134C_mRNA	2124	1825	884	41.1743
YMR135C_mRNA	1368	1069	1226	97.4877
YGR012W_mRNA	1182	883	342	32.9232
YNL244C_mRNA	327	28.091	608	1839.81
YCR024C-A_mRNA	123	1.20308	0	0
YOR027W_mRNA	1770	1471	2939	169.834
YBL101C_mRNA	3354	3055	720	20.0336
YLL040C_mRNA	9435	9136	1187	11.0441
YDR181C_mRNA	1446	1147	314	23.2704
YML116W-A_mRNA	303	9.89396	8	68.7317
YPR096C_mRNA	303	9.89396	0	0
YJL210W_mRNA	816	517	442	72.6723
YLR216C_mRNA	1116	817	1430.55	148.839
YGL118C_mRNA	438	139	0	0
YMR021C_mRNA	1254	955	212	18.8699
YNL079C_mRNA	600	301	2405	679.181
YBL058W_mRNA	1272	973	1598	139.605
YJR127C_mRNA	4143	3844	1635	36.1553
YLR088W_mRNA	1845	1546	456	25.0722
YKL128C_mRNA	888	589	675	97.4149
YLR100W_mRNA	1044	745	1170	133.496
YKL106C-A_mRNA	120	1.19594	0	0
YBR080C_mRNA	2277	1978	973	41.8142
YOR292C_mRNA	930	631	295	39.7402
YNL219C_mRNA	1668	1369	596	37.0067
YPR179C_mRNA	1968	1669	306	15.5848
YOL062C_mRNA	1476	1177	1100	79.4426
YDR540C_mRNA	540	241	29	10.2286
YER087W_mRNA	1731	1432	209.39	12.4294
YOL140W_mRNA	1272	973	169	14.7642
YFL009W_mRNA	2340	2041	760.705	31.6818
YLL004W_mRNA	1851	1552	115	6.29859
YKL057C_mRNA	3114	2815	672	20.2921
YPL130W_mRNA	672	373	28	6.38096
YDL046W_mRNA	522	223	729	277.882
YPL072W_mRNA	1500	1201	229.26	16.2264
YPR150W_mRNA	522	223	4.62537	1.76311
YER180C_mRNA	804	505	164	27.6051
YGL157W_mRNA	1044	745	908	103.602
YDR252W_mRNA	450	151	16	9.007
YLR037C_mRNA	375	76	24	26.8432
YMR307W_mRNA	1680	1381	11017	678.12
YIL116W_mRNA	1158	859	460	45.5199
YAL040C_mRNA	1743	1444	779	45.8572
YGL232W_mRNA	870	571	351	52.2526
YHR181W_mRNA	687	388	310	67.9152
YBR051W_mRNA	351	52	4	6.53873
YPL259C_mRNA	1428	1129	462	34.7844
YDR461C-A_mRNA	243	2.22021	0	0
YJL087C_mRNA	2484	2185	330	12.8381
YIR005W_mRNA	447	148	23	13.21
YDL080C_mRNA	1830	1531	464	25.762
YJL209W_mRNA	1965	1666	225	11.4801
YLR286C_mRNA	1689	1390	8465	517.666
YEL044W_mRNA	501	202	375	157.804
YOR371C_mRNA	2694	2395	225	7.98572
YLR071C_mRNA	3249	2950	701	20.1991
YBL050W_mRNA	879	580	764	111.97
YOR025W_mRNA	1344	1045	264	21.4746
YHL001W_mRNA	417	118	1448.83	1043.69
YJR042W_mRNA	2235	1936	795	34.9059
YNL185C_mRNA	477	178	146	69.722
YBR129C_mRNA	987	688	265	32.7412
YKL145W_mRNA	1404	1105	3336	256.626
YIL015W_mRNA	1764	1465	449	26.0523
YPL018W_mRNA	1110	811	86	9.01394
YLR160C_mRNA	1089	790	724.75	77.9827
YIL047C_mRNA	2709	2410	1225.01	43.2077
YBL039C-A_mRNA	84	1.12925	0	0
YOR061W_mRNA	1020	721	1057	124.617
YJR005C-A_mRNA	282	4.5528	0	0
YLR352W_mRNA	2424	2125	296	11.8405
YDR068W_mRNA	933	634	402	53.8982
YJL128C_mRNA	2007	1708	875	43.5469
YPL228W_mRNA	1650	1351	438	27.5585
YML036W_mRNA	546	247	107	36.8234
YKL114C_mRNA	1104	805	421	44.4553
YDR078C_mRNA	672	373	55	12.534
YCR105W_mRNA	1086	787	83	8.9648
YJR083C_mRNA	930	631	203	27.3466
YDR248C_mRNA	582	283	116	34.8424
YPL199C_mRNA	723	424	459	92.0204
YNL136W_mRNA	1278	979	420	36.4673
YLL045C_mRNA	771	472	11978.9	2157.3
