target_id	W	pval	qval	b	se_b	mean_obs
YBR289W_mRNA	1.61327685380046	0.204031788522974	0.439314471018244	-0.220390110319034	0.173515250216381	6.12094205612756
YDR073W_mRNA	1.6245849529463	0.202453664637437	0.439314471018244	-0.102883187922286	0.0807185217053191	5.93349404748348
YFL049W_mRNA	1.0267581645277	0.310921299650943	0.488590613737195	0.124774349086299	0.123137754727524	6.41726719055671
YGR275W_mRNA	1.7160372006866	0.190203944418265	0.439314471018244	0.191071585782553	0.145858841171601	5.76451760567689
YHL025W_mRNA	36.6798881882396	1.39208232711933e-09	1.53129055983126e-08	0.492206267517445	0.0812705385984614	7.42347789915473
YJL176C_mRNA	0.00122483412583871	0.972081630472727	0.972081630472727	-0.00429308644196648	0.122667917985515	6.38322702873568
YMR033W_mRNA	4.42228891255655	0.0354724226006879	0.195098324303784	-0.19356410446027	0.09204522561388	6.5019901364628
YNR023W_mRNA	0.239092364872156	0.62486242650464	0.687348669155104	0.0394457814259912	0.0806710500742574	5.77821720950245
YPL016W_mRNA	0.358623232399552	0.549271852915277	0.687348669155104	0.0479936891847476	0.0801428761558548	6.04011724891779
YPL129W_mRNA	0.267374513118302	0.605098433393097	0.687348669155104	-0.0957624644293834	0.185197581388969	6.45690370754818
YPR034W_mRNA	1.38279238269918	0.23962607510086	0.439314471018244	0.10864225842154	0.0923890062410823	6.80727839442396
