target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	607	190	26.5405
YDL245C_mRNA	1704	1405	113.413	6.84436
YBR232C_mRNA	360	61	17.5029	24.329
YDR320W-B_mRNA	138	1.24372	0	0
YBR021W_mRNA	1902	1603	114	6.02998
YGR014W_mRNA	3921	3622	804	18.8214
YKL119C_mRNA	648	349	170	41.3017
YPR031W_mRNA	2247	1948	148	6.44195
YKL066W_mRNA	444	145	77	45.0264
YJL076W_mRNA	3570	3271	1010.9	26.2042
YPL174C_mRNA	2607	2308	299	10.9845
YIL003W_mRNA	882	583	248	36.0685
YML066C_mRNA	1110	811	110	11.5005
YMR129W_mRNA	4014	3715	622	14.1963
YBR140C_mRNA	9279	8980	944	8.91333
YGR242W_mRNA	309	13.0646	2	12.9801
YKR047W_mRNA	306	11.3524	109	814.113
YKL029C_mRNA	2010	1711	625.725	31.0083
YLR154C-G_mRNA	150	1.28333	0	0
YPL028W_mRNA	1197	898	4280	404.121
YDL235C_mRNA	504	205	204	84.3763
YER091C_mRNA	2304	2005	4760	201.297
YMR121C_mRNA	615	316	483.886	129.838
YDR356W_mRNA	2835	2536	369	12.3373
YDR337W_mRNA	861	562	311	46.9211
YKL008C_mRNA	1257	958	794	70.2748
YER055C_mRNA	894	595	1351	192.523
YFR004W_mRNA	921	622	1813	247.145
YDR108W_mRNA	2097	1798	282	13.2985
YDL200C_mRNA	567	268	128	40.4967
YJR134C_mRNA	2124	1825	1021	47.4359
YMR135C_mRNA	1368	1069	1639	130.001
YGR012W_mRNA	1182	883	450	43.2112
YNL244C_mRNA	327	28.091	674	2034.41
YCR024C-A_mRNA	123	1.20308	0	0
YOR027W_mRNA	1770	1471	2404	138.569
YBL101C_mRNA	3354	3055	758	21.0379
YLL040C_mRNA	9435	9136	1133	10.5152
YDR181C_mRNA	1446	1147	421	31.1217
YML116W-A_mRNA	303	9.89396	11	94.2686
YPR096C_mRNA	303	9.89396	1	8.56987
YJL210W_mRNA	816	517	800	131.203
YLR216C_mRNA	1116	817	1249.68	129.694
YGL118C_mRNA	438	139	0	0
YMR021C_mRNA	1254	955	194	17.2243
YNL079C_mRNA	600	301	3178	895.224
YBL058W_mRNA	1272	973	1565	136.378
YJR127C_mRNA	4143	3844	1525	33.6381
YLR088W_mRNA	1845	1546	407	22.3218
YKL128C_mRNA	888	589	659	94.8668
YLR100W_mRNA	1044	745	1358	154.557
YKL106C-A_mRNA	120	1.19594	0	0
YBR080C_mRNA	2277	1978	875	37.5082
YOR292C_mRNA	930	631	356	47.8371
YNL219C_mRNA	1668	1369	783	48.4956
YPR179C_mRNA	1968	1669	331	16.8157
YOL062C_mRNA	1476	1177	1125	81.0439
YDR540C_mRNA	540	241	31	10.9066
YER087W_mRNA	1731	1432	202.208	11.9729
YOL140W_mRNA	1272	973	123	10.7186
YFL009W_mRNA	2340	2041	764.813	31.7729
YLL004W_mRNA	1851	1552	84	4.58915
YKL057C_mRNA	3114	2815	635	19.1267
YPL130W_mRNA	672	373	27	6.13761
YDL046W_mRNA	522	223	1029	391.25
YPL072W_mRNA	1500	1201	189.083	13.3492
YPR150W_mRNA	522	223	0	0
YER180C_mRNA	804	505	183	30.7259
YGL157W_mRNA	1044	745	844	96.0573
YDR252W_mRNA	450	151	32	17.9687
YLR037C_mRNA	375	76	50	55.7829
YMR307W_mRNA	1680	1381	7335	450.351
YIL116W_mRNA	1158	859	697	68.7993
YAL040C_mRNA	1743	1444	524	30.7687
YGL232W_mRNA	870	571	366	54.3487
YHR181W_mRNA	687	388	437	95.498
YBR051W_mRNA	351	52	9	14.6752
YPL259C_mRNA	1428	1129	492	36.9501
YDR461C-A_mRNA	243	2.22021	0	0
YJL087C_mRNA	2484	2185	211	8.18795
YIR005W_mRNA	447	148	40	22.9162
YDL080C_mRNA	1830	1531	341	18.8853
YJL209W_mRNA	1965	1666	230	11.7057
YLR286C_mRNA	1689	1390	5883	358.863
YEL044W_mRNA	501	202	952	399.604
YOR371C_mRNA	2694	2395	156	5.52285
YLR071C_mRNA	3249	2950	565	16.2394
YBL050W_mRNA	879	580	1062	155.253
YOR025W_mRNA	1344	1045	284	23.0434
YHL001W_mRNA	417	118	1375.32	988.249
YJR042W_mRNA	2235	1936	595	26.0589
YNL185C_mRNA	477	178	146	69.5468
YBR129C_mRNA	987	688	376	46.3387
YKL145W_mRNA	1404	1105	3796	291.278
YIL015W_mRNA	1764	1465	197	11.4018
YPL018W_mRNA	1110	811	35	3.65925
YLR160C_mRNA	1089	790	1555.5	166.95
YIL047C_mRNA	2709	2410	549.284	19.3252
