target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
YDL113C_mRNA	0.905282826865911	0.959793385377252	0.0257751153167335	0.216614773321803	6.37275348994181	0.0313920327757691	0.00190741717614567	0.0371942161749012	0.00941678141007952	0.0371942161749012
YDR238C_mRNA	0.100903216835585	0.313231591636489	-0.20589794226056	0.125509985619657	7.83186760460206	0.0160488220801928	0.000387759579991029	0.0108411924729308	0.0127395374952145	0.0127395374952145
YDR246W_mRNA	0.704167947830176	0.865433040701426	0.0585151617158448	0.154108838401001	6.18952041422281	0.0164036934073094	0.00199915618416797	0.0177921222102537	0.00964630638204643	0.0177921222102537
YEL071W_mRNA	2.50163031615739e-09	1.18816928965727e-07	0.812536369510816	0.136300740177263	8.37321491686939	0.121541642909123	0.000234317786898594	0.014147870895794	0.0152472586904928	0.0152472586904928
YER103W_mRNA	0.0179771303025843	0.095765071131203	-0.283359755938039	0.119758714002755	6.10711595987363	0.0196950826961968	0.00214500331536889	0.00574619353711372	0.00980678800095908	0.00980678800095908
YGL089C_mRNA	0.0928546065242697	0.295953269874815	0.515381858079174	0.306678507672504	3.30201394530908	0.0478876477572989	0.0386996492952793	-0.0341772686897269	0.0396767732615827	0.0396767732615827
YGL253W_mRNA	0.110177733865707	0.332102199632496	-0.276599281064512	0.173156494187616	9.94158186112386	0.0231046836726319	5.24228224055906e-05	0.0128894396255917	0.0249335534103827	0.0249335534103827
YHR094C_mRNA	0.101309767866974	0.313583136902594	-0.272845849958035	0.166517989173648	7.8961130771191	0.030892970118844	0.000357331068594537	0.022749536196768	0.0130168739209951	0.022749536196768
YIL103W_mRNA	0.464485914745378	0.723032567830886	-0.104291241560086	0.142575624545548	5.5720895598528	0.0153646496540593	0.00420374009469835	0.0127361005007624	0.0117264927949016	0.0127361005007624
YIL116W_mRNA	0.0221370448279266	0.110724404749948	0.331930277101588	0.145073903221041	6.74468031014443	0.0323939097399814	0.00121985741578467	0.0163188404140386	0.00938906941484317	0.0163188404140386
YJL146W_mRNA	0.0186334592175219	0.0986042879496287	0.296389100500519	0.125973787773133	5.8979717295786	0.0157421586201181	0.00282973366340078	-0.00145338932481701	0.0103947623415245	0.0103947623415245
YKL139W_mRNA	0.262986328191232	0.537770885288293	0.149273462310302	0.133356007858259	5.74264410768943	0.0155696443129456	0.00306024777854273	0.0117596062480339	0.0109660849095927	0.0117596062480339
YLR297W_mRNA	0.414823555246705	0.683620625644986	0.393012166269697	0.481966475983056	3.37763664179088	0.180604216453684	0.0404893349036283	0.153087068405976	0.038425648202573	0.153087068405976
YML051W_mRNA	0.221020469380151	0.49220161266218	0.138398012904983	0.113086983604508	6.6045147443547	0.00653208534875904	0.00131982448133987	0.00285486345959886	0.00933739706929872	0.00933739706929872
YML103C_mRNA	0.161601297257151	0.414736802926384	-0.171423183140312	0.12247082659612	6.63207981017363	0.014897053531084	0.00146872661289471	0.0110305261930527	0.00934108030702821	0.0110305261930527
YNL300W_mRNA	0.000374984368421013	0.00458747110457914	-0.9864530399822	0.277320163032056	3.61017052990216	0.172931376382376	0.0293878283112406	-0.0159506078520469	0.0347008990421978	0.0347008990421978
YOL103W_mRNA	0.939157941644818	0.973252784410802	0.00858899608293721	0.112527075348295	6.79637709482618	0.00730534044404687	0.0011209257699888	0.0079953808572133	0.00943102646871196	0.00943102646871196
YOR109W_mRNA	5.38139495213097e-05	0.000918901639560249	-0.464938768927719	0.115129067042301	6.68024250809021	0.0448644778606909	0.00115010341044508	0.00989548165458047	0.00935481867377025	0.00989548165458047
YOR125C_mRNA	0.464495975547407	0.723032567830886	-0.110265626843995	0.150746548933755	5.81670551247808	0.0171760994208415	0.00298243836111687	0.0159546633184139	0.0106841081290728	0.0159546633184139
YOR151C_mRNA	0.199122263873439	0.465043036244821	-0.184402516786053	0.143609372589104	8.1703794504587	0.0194164826297958	0.000281237714393111	0.0169051388651369	0.0142615209355374	0.0169051388651369
YOR176W_mRNA	0.71472476492013	0.871171958449122	-0.0414090859128564	0.113288770186904	6.77765944111312	0.00551062684121856	0.00128102585421182	0.00525002594811595	0.00941426202117254	0.00941426202117254
YOR209C_mRNA	0.916880292594765	0.966460266145138	-0.0220981113178376	0.211740241072258	7.46495931252577	0.0299706742135278	0.000568636238786144	0.0367929718356622	0.0112539397933527	0.0367929718356622
YPL192C_mRNA	0.515047108624142	0.760902431759867	-0.261590764515846	0.401829725865342	3.02849079039461	0.119049707072675	0.0590262518062902	0.0755296886845564	0.0443560811247063	0.0755296886845564
YPL228W_mRNA	0.422315713113946	0.689863702462434	0.0941587941829051	0.117344961278887	6.28830896392528	0.00553997015590566	0.00197244978199779	0.00310545488747206	0.00950241683262171	0.00950241683262171
YPR181C_mRNA	0.262293225141562	0.537290046184888	-0.142329776585468	0.12696822140502	7.9094268683762	0.0109549866016824	0.000359095938088795	0.0091142695425831	0.0130750117675397	0.0130750117675397
