target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	607	187	27.4342
YDL245C_mRNA	1704	1405	123.173	7.80691
YBR232C_mRNA	360	61	9.62222	14.047
YDR320W-B_mRNA	138	1.24372	0	0
YBR021W_mRNA	1902	1603	147	8.16626
YGR014W_mRNA	3921	3622	836	20.554
YKL119C_mRNA	648	349	175	44.6531
YPR031W_mRNA	2247	1948	176	8.04569
YKL066W_mRNA	444	145	76	46.6751
YJL076W_mRNA	3570	3271	1306.39	35.5659
YPL174C_mRNA	2607	2308	340	13.1184
YIL003W_mRNA	882	583	229	34.9789
YML066C_mRNA	1110	811	125	13.7255
YMR129W_mRNA	4014	3715	691	16.5637
YBR140C_mRNA	9279	8980	1077	10.6802
YGR242W_mRNA	309	13.0646	0	0
YKR047W_mRNA	306	11.3524	77	604.01
YKL029C_mRNA	2010	1711	841.759	43.8104
YLR154C-G_mRNA	150	1.28333	0	0
YPL028W_mRNA	1197	898	3686	365.526
YDL235C_mRNA	504	205	216	93.8295
YER091C_mRNA	2304	2005	5493	243.969
YMR121C_mRNA	615	316	486.434	137.081
YDR356W_mRNA	2835	2536	461	16.1879
YDR337W_mRNA	861	562	357	56.5681
YKL008C_mRNA	1257	958	877	81.5217
YER055C_mRNA	894	595	1587	237.52
YFR004W_mRNA	921	622	1896	271.448
YDR108W_mRNA	2097	1798	283	14.0164
YDL200C_mRNA	567	268	107	35.554
YJR134C_mRNA	2124	1825	1336	65.1903
YMR135C_mRNA	1368	1069	1395	116.208
YGR012W_mRNA	1182	883	409	41.2479
YNL244C_mRNA	327	28.091	513	1626.26
YCR024C-A_mRNA	123	1.20308	0	0
YOR027W_mRNA	1770	1471	3139	190.028
YBL101C_mRNA	3354	3055	676	19.7049
YLL040C_mRNA	9435	9136	1363	13.2855
YDR181C_mRNA	1446	1147	470	36.49
YML116W-A_mRNA	303	9.89396	17	153.009
YPR096C_mRNA	303	9.89396	0	0
YJL210W_mRNA	816	517	715	123.156
YLR216C_mRNA	1116	817	1623.1	176.914
YGL118C_mRNA	438	139	0	0
YMR021C_mRNA	1254	955	173	16.1318
YNL079C_mRNA	600	301	3677	1087.84
YBL058W_mRNA	1272	973	1738	159.066
YJR127C_mRNA	4143	3844	1730	40.0776
YLR088W_mRNA	1845	1546	479	27.5909
YKL128C_mRNA	888	589	680	102.809
YLR100W_mRNA	1044	745	1286	153.718
YKL106C-A_mRNA	120	1.19594	0	0
YBR080C_mRNA	2277	1978	1084	48.8025
YOR292C_mRNA	930	631	290	40.9268
YNL219C_mRNA	1668	1369	851	55.3561
YPR179C_mRNA	1968	1669	397	21.1823
YOL062C_mRNA	1476	1177	1014	76.7186
YDR540C_mRNA	540	241	38	14.0413
YER087W_mRNA	1731	1432	220.251	13.6967
YOL140W_mRNA	1272	973	149	13.6368
YFL009W_mRNA	2340	2041	847.673	36.9849
YLL004W_mRNA	1851	1552	92	5.2788
