target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	607	141	15.1849
YDL245C_mRNA	1704	1405	66.5146	3.09473
YBR232C_mRNA	360	61	21.6002	23.1478
YDR320W-B_mRNA	138	1.24372	0	0
YBR021W_mRNA	1902	1603	198	8.07446
YGR014W_mRNA	3921	3622	1316	23.7514
YKL119C_mRNA	648	349	143	26.7851
YPR031W_mRNA	2247	1948	188	6.30886
YKL066W_mRNA	444	145	33	14.8774
YJL076W_mRNA	3570	3271	1244.74	24.8761
YPL174C_mRNA	2607	2308	202	5.72134
YIL003W_mRNA	882	583	235	26.35
YML066C_mRNA	1110	811	105	8.46351
YMR129W_mRNA	4014	3715	739	13.0037
YBR140C_mRNA	9279	8980	1031	7.50524
YGR242W_mRNA	309	13.0646	4	20.0145
YKR047W_mRNA	306	11.3524	49	282.158
YKL029C_mRNA	2010	1711	1642.93	62.7699
YLR154C-G_mRNA	150	1.28333	0	0
YPL028W_mRNA	1197	898	4338	315.788
YDL235C_mRNA	504	205	177	56.4419
YER091C_mRNA	2304	2005	1579	51.4813
YMR121C_mRNA	615	316	417.986	86.4683
YDR356W_mRNA	2835	2536	235	6.0576
YDR337W_mRNA	861	562	333	38.7338
YKL008C_mRNA	1257	958	1317	89.8674
YER055C_mRNA	894	595	2573	282.686
YFR004W_mRNA	921	622	1730	181.818
YDR108W_mRNA	2097	1798	338	12.2888
YDL200C_mRNA	567	268	82	20.0014
YJR134C_mRNA	2124	1825	759	27.187
YMR135C_mRNA	1368	1069	1154	70.5684
YGR012W_mRNA	1182	883	503	37.2383
YNL244C_mRNA	327	28.091	824	1917.53
YCR024C-A_mRNA	123	1.20308	0	0
YOR027W_mRNA	1770	1471	2472	109.854
YBL101C_mRNA	3354	3055	610	13.0527
YLL040C_mRNA	9435	9136	947	6.77604
YDR181C_mRNA	1446	1147	257	14.6471
YML116W-A_mRNA	303	9.89396	9	59.464
YPR096C_mRNA	303	9.89396	0	0
YJL210W_mRNA	816	517	552	69.796
YLR216C_mRNA	1116	817	1540.28	123.242
YGL118C_mRNA	438	139	0	0
YMR021C_mRNA	1254	955	197	13.4848
YNL079C_mRNA	600	301	2389	518.838
YBL058W_mRNA	1272	973	1662	111.661
YJR127C_mRNA	4143	3844	1566	26.6312
YLR088W_mRNA	1845	1546	462	19.535
YKL128C_mRNA	888	589	813	90.2313
YLR100W_mRNA	1044	745	1279	112.227
YKL106C-A_mRNA	120	1.19594	0	0
YBR080C_mRNA	2277	1978	998	32.9827
YOR292C_mRNA	930	631	411	42.5789
YNL219C_mRNA	1668	1369	730	34.8579
YPR179C_mRNA	1968	1669	273	10.6927
YOL062C_mRNA	1476	1177	1270	70.5357
YDR540C_mRNA	540	241	20	5.42494
YER087W_mRNA	1731	1432	227.83	10.4004
YOL140W_mRNA	1272	973	164	11.0183
YFL009W_mRNA	2340	2041	783.641	25.099
YLL004W_mRNA	1851	1552	131	5.51774
YKL057C_mRNA	3114	2815	673	15.6285
YPL130W_mRNA	672	373	31	5.43294
YDL046W_mRNA	522	223	890	260.896
YPL072W_mRNA	1500	1201	208.172	11.3308
YPR150W_mRNA	522	223	8.35291	2.44858
YER180C_mRNA	804	505	180	23.3004
YGL157W_mRNA	1044	745	910	79.8486
YDR252W_mRNA	450	151	34	14.7192
YLR037C_mRNA	375	76	20	17.2028
YMR307W_mRNA	1680	1381	14453	684.142
YIL116W_mRNA	1158	859	502	38.2026
YAL040C_mRNA	1743	1444	783	35.4468
YGL232W_mRNA	870	571	381	43.6185
YHR181W_mRNA	687	388	395	66.5499
YBR051W_mRNA	351	52	6	7.54275
YPL259C_mRNA	1428	1129	471	27.2715
YDR461C-A_mRNA	243	2.22021	0	0
YJL087C_mRNA	2484	2185	282	8.43684
YIR005W_mRNA	447	148	25	11.0423
YDL080C_mRNA	1830	1531	539	23.0142
YJL209W_mRNA	1965	1666	246	9.65255
YLR286C_mRNA	1689	1390	10431	490.561
YEL044W_mRNA	501	202	536	173.458
YOR371C_mRNA	2694	2395	248	6.76906
YLR071C_mRNA	3249	2950	666	14.7582
YBL050W_mRNA	879	580	725	81.7132
YOR025W_mRNA	1344	1045	364	22.7702
YHL001W_mRNA	417	118	2562.13	1419.39
YJR042W_mRNA	2235	1936	798	26.9451
YNL185C_mRNA	477	178	152	55.822
YBR129C_mRNA	987	688	298	28.3146
YKL145W_mRNA	1404	1105	3577	211.611
YIL015W_mRNA	1764	1465	568	25.345
YPL018W_mRNA	1110	811	106	8.54411
YLR160C_mRNA	1089	790	881.25	72.9212
YIL047C_mRNA	2709	2410	1339.49	36.3332
YBL039C-A_mRNA	84	1.12925	0	0
YOR061W_mRNA	1020	721	1334	120.949
YJR005C-A_mRNA	282	4.5528	0	0
YLR352W_mRNA	2424	2125	310	9.53641
YDR068W_mRNA	933	634	425	43.8209
YJL128C_mRNA	2007	1708	885	33.8717
YPL228W_mRNA	1650	1351	416	20.1289
YML036W_mRNA	546	247	153	40.4927
YKL114C_mRNA	1104	805	391	31.7514
YDR078C_mRNA	672	373	81	14.1957
YCR105W_mRNA	1086	787	79	6.56197
YJR083C_mRNA	930	631	199	20.6161
YDR248C_mRNA	582	283	131	30.2599
YPL199C_mRNA	723	424	551	84.9509
YNL136W_mRNA	1278	979	462	30.849
YLL045C_mRNA	771	472	16859	2334.92
YOR316C-A_mRNA	210	1.66472	0	0
YNL264C_mRNA	1053	754	464	40.228
YLR320W_mRNA	4365	4066	249	4.00326
YBR028C_mRNA	1578	1279	410	20.9554
YKL098W_mRNA	1074	775	566	47.7416
YBR063C_mRNA	1215	916	146.593	10.4616
YJL052C-A_mRNA	120	1.19594	0	0
YPR060C_mRNA	771	472	294	40.7181
YLL013C_mRNA	2640	2341	224	6.25502
YKR067W_mRNA	2232	1933	726	24.552
YLR040C_mRNA	675	376	130	22.6015
YMR093W_mRNA	1542	1243	565	29.7139
YIL058W_mRNA	285	4.97562	0	0
YHR136C_mRNA	447	148	324	143.108
YBR078W_mRNA	1290	991	8569	565.247
YCL054W_mRNA	2526	2227	1180	34.6373
YIL072W_mRNA	1818	1519	74	3.18461
YOR231C-A_mRNA	201	1.57618	0	0
YCR016W_mRNA	873	574	363	41.3406
YEL020C_mRNA	1683	1384	343	16.2009
YPL025C_mRNA	558	259	5	1.26198
YDL136W_mRNA	363	64	2951.27	3014.47
YBR211C_mRNA	975	676	292	28.237
YJL077W-A_mRNA	87	1.1337	0	0
YOR076C_mRNA	2244	1945	276	9.27623
YDR104C_mRNA	3738	3439	218	4.14387
YBR279W_mRNA	1338	1039	692	43.5384
YLR067C_mRNA	2898	2599	365	9.18055
YHR219W_mRNA	1875	1576	2987.09	123.901
YGR249W_mRNA	1371	1072	512	31.2217
YLR456W_mRNA	615	316	35	7.24041
YGR283C_mRNA	1026	727	399	35.8774
YDL027C_mRNA	1263	964	358	24.2766
YKR023W_mRNA	1593	1294	396	20.0052
YGR028W_mRNA	1089	790	351	29.0444
YCL001W-A_mRNA	462	163	3	1.20314
YDR052C_mRNA	2115	1816	590.006	21.2384
YFR035C_mRNA	345	46.0001	26	36.9485
YJL102W_mRNA	2460	2161	157	4.74927
YNL336W_mRNA	1146	847	376.845	29.0845
YGL006W_mRNA	3522	3223	1506	30.5455
YDR217C_mRNA	3930	3631	526	9.46982
YMR194C-A_mRNA	225	1.85938	0	0
YKL033W_mRNA	3117	2818	295	6.84326
YOR223W_mRNA	879	580	345	38.8842
YOR032W-A_mRNA	201	1.57618	0	0
YBR260C_mRNA	2001	1702	370	14.211
YLR359W_mRNA	1449	1150	3161	179.684
YHR062C_mRNA	882	583	539	60.4369
YDR022C_mRNA	591	292	74	16.5665
YDR459C_mRNA	1125	826	279	22.0804
YNL184C_mRNA	327	28.091	6	13.9626
