Total	Iteration	target_id	Balanced	Unbalanced_JS	Unbalanced_OLS	Delta_Err	Frac_Delta
3	1	YAL013W_mRNA	0.0256253771384568	0.00439458437874859	0.0103647185072253	-0.00597013412847666	-0.576005428831943
3	1	YDL208W_mRNA	0.0128291963891322	0.0677949557889285	0.107007303525543	-0.0392123477366144	-0.366445527031287
3	1	YLR279W_mRNA	0.00509966908335445	0.00119064562089946	0.0156683103465167	-0.0144776647256172	-0.92400931596532
3	2	YBR077C_mRNA	0.132513356089561	3.02907316918894e-05	0.000141135889861211	-0.000110845158169321	-0.785378958380632
3	2	YCR028C-A_mRNA	0.112467317216069	0.00353292548578365	0.00360958257957796	-7.66570937943112e-05	-0.0212371076445283
3	2	YPL083C_mRNA	0.0045507264397043	0.0154968644201272	0.0153690986470476	0.000127765773079621	0.00831315980291176
3	3	YBR026C_mRNA	0.000520605984968714	0.00173981826504601	0.00174581129752596	-5.99303247994878e-06	-0.00343280656302413
3	3	YCL025C_mRNA	0.0174297245067051	0.0239301142255702	0.0229531997732638	0.000976914452306438	0.0425611445008361
3	3	YLR183C_mRNA	0.0168508884649475	0.098460500366208	0.0992704677449904	-0.000809967378782431	-0.00815919776728669
3	4	YBL049W_mRNA	0.0107824321929698	0.000373115168091786	5.21785289979663e-05	0.00032093663909382	6.15074141140178
3	4	YHR150W_mRNA	0.0349248685974948	0.00274617186073177	0.00350853504979052	-0.00076236318905875	-0.217288178182591
3	4	YMR244W_mRNA	0.00171239378164446	0.110139004425849	0.0923288229650589	0.0178101814607905	0.192899474820887
3	5	YBL077W_mRNA	0.00489950016262786	0.00498126183591013	0.00540109839390016	-0.000419836557990028	-0.0777316996232061
3	5	YLR417W_mRNA	0.00217646602320458	0.0588245693202839	0.0699989599683834	-0.0111743906480995	-0.15963652393045
3	5	YPR125W_mRNA	0.0490499542751995	0.0250463529875368	0.0265954874064119	-0.00154913441887512	-0.0582480176130043
3	6	YJL048C_mRNA	0.0122302514069036	0.0208782537680172	0.0079190873047467	0.0129591664632705	1.63644697483039
3	6	YML014W_mRNA	0.0910388039629543	0.0231478746748487	0.0580834192122016	-0.0349355445373528	-0.601471900435468
3	6	YOL040C_mRNA	0.137728920602985	0.00499406808728889	0.0386316431285901	-0.0336375750413012	-0.870725972730036
3	7	YBR095C_mRNA	0.00596211029362895	0.000108352171332777	0.000234074279979182	-0.000125722108646404	-0.537103472699291
3	7	YKL059C_mRNA	7.76494624009883e-05	0.000953856860752657	0.0031863013721638	-0.00223244451141115	-0.700638216746931
3	7	YKL106W_mRNA	0.000449075334400774	0.015770366722531	0.0397486339904003	-0.0239782672678694	-0.603247580122133
3	8	YDR103W_mRNA	2.99852924107583e-05	0.00156184506899299	0.00352314209194581	-0.00196129702295282	-0.556689730861694
3	8	YNR032W_mRNA	0.024139529494438	0.00289148956105112	0.0164825630609054	-0.0135910734998543	-0.824572819750991
3	8	YOR381W_mRNA	0.000803466685747076	0.0144413151532151	0.0160321564030079	-0.00159084124979276	-0.0992281518345398
3	9	YJR101W_mRNA	0.000644674676354515	0.000476371481297553	2.12801522508547e-05	0.000455091329046699	21.3857177186512
3	9	YMR176W_mRNA	0.0167612200186519	0.00647203173966294	0.00825863801539832	-0.00178660627573538	-0.216331830067407
3	9	YOR304W_mRNA	0.0868136758778298	0.0063982339052696	0.00706588025640862	-0.00066764635113902	-0.094488772369653
3	10	YDL180W_mRNA	0.035653734740707	0.00109263555894911	0.00132854202770064	-0.000235906468751529	-0.177567938260728
3	10	YKL187C_mRNA	0.0569498407250404	0.00200806936197987	0.00188564029072498	0.000122429071254885	0.064927055206173
3	10	YNL280C_mRNA	0.287272281803304	0.00585322519335598	0.00634634800474227	-0.000493122811386293	-0.0777018233191451
