target_id	W	pval	qval	b	se_b	mean_obs
YBL060W_mRNA	2.69759928199713	0.1004994733636	0.251248683409001	0.199716663195827	0.121597762242377	5.50566983611518
YCL057W_mRNA	6.24379609104819	0.0124629065992003	0.0537627634263046	0.258908889965262	0.103614994193193	7.22563114189406
YDR111C_mRNA	7.52093029507612	0.00609861765655359	0.0537627634263046	0.421304706108147	0.153624516327751	6.28040333748905
YDR217C_mRNA	0.0477777872084558	0.826976216549629	0.918862462832921	0.0431846295995532	0.197567808729662	6.21465427895973
YDR226W_mRNA	0.127349282687202	0.721196381973995	0.901495477467494	0.048004338487067	0.134518568740304	8.13227854232824
YDR254W_mRNA	0.639679334303117	0.423826938705694	0.605467055293849	0.195308507270154	0.244196817957865	5.28213363245967
YER155C_mRNA	0.000108290254663465	0.991697155376829	0.991697155376829	-0.00197152623872171	0.189455786292973	7.2863991478981
YFR036W-A_mRNA	0.758157132174762	0.383905859405771	0.605467055293849	0.110555990380855	0.126970452400739	6.41662770451166
YMR098C_mRNA	0.742847157157441	0.388750355869728	0.605467055293849	0.111105567534622	0.128909845911522	5.48706167080628
YPL238C_mRNA	5.7887744924815	0.0161288290278914	0.0537627634263046	-0.285339751316045	0.118595705412948	5.80131422858226
