target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	607	284	33.1957
YDL245C_mRNA	1704	1405	164.594	8.31172
YBR232C_mRNA	360	61	46.7866	54.4182
YDR320W-B_mRNA	138	1.24372	0	0
YBR021W_mRNA	1902	1603	237	10.4898
YGR014W_mRNA	3921	3622	2306	45.1713
YKL119C_mRNA	648	349	143	29.0712
YPR031W_mRNA	2247	1948	341	12.4199
YKL066W_mRNA	444	145	108	52.8455
YJL076W_mRNA	3570	3271	2335.1	50.6497
YPL174C_mRNA	2607	2308	430	13.2186
YIL003W_mRNA	882	583	226	27.5038
YML066C_mRNA	1110	811	166	14.5224
YMR129W_mRNA	4014	3715	1353	25.8399
YBR140C_mRNA	9279	8980	1466	11.5827
YGR242W_mRNA	309	13.0646	2	10.8614
YKR047W_mRNA	306	11.3524	52	324.99
YKL029C_mRNA	2010	1711	1918.96	79.5735
YLR154C-G_mRNA	150	1.28333	0	0
YPL028W_mRNA	1197	898	3479	274.872
YDL235C_mRNA	504	205	414	143.284
YER091C_mRNA	2304	2005	1561	55.2383
YMR121C_mRNA	615	316	424.732	95.363
YDR356W_mRNA	2835	2536	493	13.7927
YDR337W_mRNA	861	562	563	71.0762
YKL008C_mRNA	1257	958	1025	75.912
YER055C_mRNA	894	595	3627	432.497
YFR004W_mRNA	921	622	1929	220.036
YDR108W_mRNA	2097	1798	403	15.9026
YDL200C_mRNA	567	268	126	33.3571
YJR134C_mRNA	2124	1825	1287	50.0343
YMR135C_mRNA	1368	1069	1571	104.268
YGR012W_mRNA	1182	883	646	51.9068
YNL244C_mRNA	327	28.091	1136	2869.22
YCR024C-A_mRNA	123	1.20308	0	0
YOR027W_mRNA	1770	1471	3943	190.181
YBL101C_mRNA	3354	3055	951	22.0862
YLL040C_mRNA	9435	9136	1251	9.71524
YDR181C_mRNA	1446	1147	455	28.1449
YML116W-A_mRNA	303	9.89396	6	43.0262
YPR096C_mRNA	303	9.89396	0	0
YJL210W_mRNA	816	517	506	69.4404
YLR216C_mRNA	1116	817	1640.56	142.469
YGL118C_mRNA	438	139	0	0
YMR021C_mRNA	1254	955	280	20.8021
YNL079C_mRNA	600	301	3130	737.785
YBL058W_mRNA	1272	973	2307	168.224
YJR127C_mRNA	4143	3844	2326	42.9317
YLR088W_mRNA	1845	1546	695	31.8954
YKL128C_mRNA	888	589	892	107.449
YLR100W_mRNA	1044	745	1366	130.091
YKL106C-A_mRNA	120	1.19594	0	0
YBR080C_mRNA	2277	1978	1509	54.1271
YOR292C_mRNA	930	631	483	54.3088
YNL219C_mRNA	1668	1369	1355	70.2244
YPR179C_mRNA	1968	1669	489	20.7876
YOL062C_mRNA	1476	1177	1168	70.4074
YDR540C_mRNA	540	241	57	16.7807
YER087W_mRNA	1731	1432	261.505	12.9565
YOL140W_mRNA	1272	973	168	12.2504
YFL009W_mRNA	2340	2041	1072.44	37.2804
YLL004W_mRNA	1851	1552	190	8.68588
YKL057C_mRNA	3114	2815	1231	31.0264
YPL130W_mRNA	672	373	62	11.7933
YDL046W_mRNA	522	223	1168	371.612
YPL072W_mRNA	1500	1201	507.981	30.0094
YPR150W_mRNA	522	223	2.00773	0.638782
YER180C_mRNA	804	505	429	60.2723
YGL157W_mRNA	1044	745	1880	179.041
YDR252W_mRNA	450	151	59	27.7222
YLR037C_mRNA	375	76	34	31.7408
YMR307W_mRNA	1680	1381	14160	727.481
YIL116W_mRNA	1158	859	742	61.2862
YAL040C_mRNA	1743	1444	1725	84.7567
YGL232W_mRNA	870	571	461	57.2818
YHR181W_mRNA	687	388	517	94.539
YBR051W_mRNA	351	52	12	16.3731
YPL259C_mRNA	1428	1129	881	55.3648
YDR461C-A_mRNA	243	2.22021	0	0
YJL087C_mRNA	2484	2185	556	18.0541
YIR005W_mRNA	447	148	54	25.8871
YDL080C_mRNA	1830	1531	651	30.1688
YJL209W_mRNA	1965	1666	425	18.0995
YLR286C_mRNA	1689	1390	15304	781.164
YEL044W_mRNA	501	202	499	175.267
YOR371C_mRNA	2694	2395	260	7.70229
YLR071C_mRNA	3249	2950	1258	30.2559
YBL050W_mRNA	879	580	1158	141.655
YOR025W_mRNA	1344	1045	525	35.6447
YHL001W_mRNA	417	118	1115.46	670.696
YJR042W_mRNA	2235	1936	1131	41.4486
YNL185C_mRNA	477	178	252	100.446
YBR129C_mRNA	987	688	565	58.2656
YKL145W_mRNA	1404	1105	3781	242.771
YIL015W_mRNA	1764	1465	681	32.9808
YPL018W_mRNA	1110	811	157	13.7351
YLR160C_mRNA	1089	790	1081.5	97.1296
YIL047C_mRNA	2709	2410	1366.73	40.2363
YBL039C-A_mRNA	84	1.12925	0	0
YOR061W_mRNA	1020	721	1960	192.874
YJR005C-A_mRNA	282	4.5528	0	0
YLR352W_mRNA	2424	2125	576	19.2316
YDR068W_mRNA	933	634	954	106.761
YJL128C_mRNA	2007	1708	1463	60.7727
YPL228W_mRNA	1650	1351	865	45.4269
YML036W_mRNA	546	247	189	54.2896
YKL114C_mRNA	1104	805	663	58.4346
YDR078C_mRNA	672	373	82	15.5976
YCR105W_mRNA	1086	787	141	12.7115
YJR083C_mRNA	930	631	436	49.0241
YDR248C_mRNA	582	283	190	47.6342
YPL199C_mRNA	723	424	758	126.84
YNL136W_mRNA	1278	979	1144	82.9078
YLL045C_mRNA	771	472	15501.3	2330.12
YOR316C-A_mRNA	210	1.66472	0	0
YNL264C_mRNA	1053	754	615	57.8703
YLR320W_mRNA	4365	4066	498	8.68989
YBR028C_mRNA	1578	1279	839	46.5418
YKL098W_mRNA	1074	775	698	63.9007
YBR063C_mRNA	1215	916	249.29	19.3091
YJL052C-A_mRNA	120	1.19594	0	0
YPR060C_mRNA	771	472	372	55.9182
YLL013C_mRNA	2640	2341	298	9.03165
YKR067W_mRNA	2232	1933	1261	46.2845
YLR040C_mRNA	675	376	270	50.9481
